Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: ROOM1:Zone Air Temperature [C](Hourly),THERMAL ZONE: ROOM2:Zone Air Temperature [C](Hourly) 
 01/01  01:00:00,6.991666666666667,12.824014770963776,12.811381840617974 
 01/01  02:00:00,7.2,12.286859869180196,12.271170821391687 
 01/01  03:00:00,6.908333333333334,11.729253521757562,11.71114297606457 
 01/01  04:00:00,6.3500000000000005,11.100832189758579,11.0798160611664 
 01/01  05:00:00,5.108333333333334,10.350719455996678,10.325956231498733 
 01/01  06:00:00,4.3999999999999995,9.617956228359441,9.58967999534816 
 01/01  07:00:00,5.391666666666667,9.755321568287645,9.721226605126141 
 01/01  08:00:00,5.458333333333333,9.66748275098856,9.771321927700134 
 01/01  09:00:00,6.633333333333333,10.208809400205576,11.416173567069292 
 01/01  10:00:00,8.441666666666666,11.76639577441729,14.293065175469067 
 01/01  11:00:00,9.191666666666666,13.592403173207925,16.693540606627185 
 01/01  12:00:00,9.75,15.241095592263761,18.066203891593148 
 01/01  13:00:00,10.350000000000001,16.63239423571508,18.87394446023578 
 01/01  14:00:00,10.891666666666666,18.113374429967756,19.713545221961592 
 01/01  15:00:00,12.733333333333334,19.913781540134682,20.641043393952213 
 01/01  16:00:00,13.9,21.33663678512305,21.14861568254233 
 01/01  17:00:00,12.266666666666666,20.645132008781662,20.279500992898566 
 01/01  18:00:00,11.1,19.092185471334624,18.948475280831875 
 01/01  19:00:00,10.808333333333332,18.122023944001857,18.071283931247756 
 01/01  20:00:00,10.600000000000001,17.385357784257305,17.37136619150725 
 01/01  21:00:00,9.608333333333333,16.718458273759044,16.71616452541738 
 01/01  22:00:00,9.191666666666666,16.069403738025176,16.067693717966247 
 01/01  23:00:00,8.466666666666667,14.741200398482505,14.73777359780325 
 01/01  24:00:00,7.158333333333334,13.656913998921702,13.647739568564036 
 01/02  01:00:00,7.983333333333334,13.042692464585187,13.029384025762143 
 01/02  02:00:00,7.266666666666667,12.474469814995643,12.45755743212492 
 01/02  03:00:00,5.808333333333333,11.550866303360648,11.528834220684567 
 01/02  04:00:00,4.608333333333333,10.724007931404804,10.697634018362285 
 01/02  05:00:00,4.891666666666667,10.067719655526039,10.038672016294331 
 01/02  06:00:00,6.533333333333332,9.888546107908061,9.859352519256682 
 01/02  07:00:00,7.55,10.126716730599014,10.096848339888025 
 01/02  08:00:00,7.45,10.078339752447699,10.170667986752157 
 01/02  09:00:00,9.183333333333334,10.664329506799598,11.681579339047468 
 01/02  10:00:00,11.241666666666667,12.255319416830021,14.425655339604825 
 01/02  11:00:00,12.983333333333333,14.055754505767972,16.67466974666539 
 01/02  12:00:00,13.9,16.012438196414863,18.495424855039 
 01/02  13:00:00,13.9,17.817936380566834,19.869401086126697 
 01/02  14:00:00,13.9,19.217793398619158,20.68760519422049 
 01/02  15:00:00,12.908333333333333,20.433915286644517,21.106659154276326 
 01/02  16:00:00,12.550000000000002,21.30635637608665,21.155868647203757 
 01/02  17:00:00,11.808333333333335,20.60261897259262,20.26539720765188 
 01/02  18:00:00,10.808333333333332,19.115210831364564,18.96981441318127 
 01/02  19:00:00,11.241666666666667,18.20892730815751,18.143339949374774 
 01/02  20:00:00,11.700000000000001,17.58252491232818,17.54805578044468 
 01/02  21:00:00,10.708333333333334,16.967004183008385,16.942263762892576 
 01/02  22:00:00,9.358333333333334,16.274967844872794,16.250222023011442 
 01/02  23:00:00,9.191666666666666,14.943458172351841,14.919320369376841 
 01/02  24:00:00,9.108333333333333,14.196143415817014,14.170023075641076 
 01/03  01:00:00,9.191666666666666,13.608671430060527,13.579735986798646 
 01/03  02:00:00,9.75,13.244577658684774,13.216296474682268 
 01/03  03:00:00,11.283333333333333,13.148432836788169,13.121693467578709 
 01/03  04:00:00,13.191666666666668,13.395620263112528,13.373409537961834 
 01/03  05:00:00,13.258333333333333,13.49918997058817,13.486780186366852 
 01/03  06:00:00,12.450000000000001,13.147271708195666,13.136878642295931 
 01/03  07:00:00,11.558333333333332,12.914595160086359,12.902225232005236 
 01/03  08:00:00,11.1,12.667413801101652,12.752104989348664 
 01/03  09:00:00,11.450000000000001,13.016885527124758,13.878147316847702 
 01/03  10:00:00,12.633333333333333,14.173700176252423,15.975817161099828 
 01/03  11:00:00,12.658333333333333,15.677099350801868,17.956926399436167 
 01/03  12:00:00,13.833333333333334,17.11934965535929,19.231024611853176 
 01/03  13:00:00,15.35,18.714578887434676,20.429052640721114 
 01/03  14:00:00,15.891666666666666,20.295848767356066,21.51869773562794 
 01/03  15:00:00,16.099999999999998,21.54332989459167,22.104045298195818 
 01/03  16:00:00,14.816666666666668,21.981555923339744,21.971348076535374 
 01/03  17:00:00,13.9,21.11350090559284,20.987439833727656 
 01/03  18:00:00,13.258333333333333,19.952189165853166,19.931341085950248 
 01/03  19:00:00,12.450000000000001,18.374003098508897,18.387901721675576 
 01/03  20:00:00,11.266666666666666,17.291754236923936,17.311522200746733 
 01/03  21:00:00,10.25,16.37840855698941,16.393464215982075 
 01/03  22:00:00,9.358333333333334,15.563338678964463,15.570862396120823 
 01/03  23:00:00,8.9,14.825411648764627,14.825632256505173 
 01/03  24:00:00,8.9,14.24537195338835,14.239353233024367 
 01/04  01:00:00,8.549999999999999,13.670232136653267,13.659110174236808 
 01/04  02:00:00,8.008333333333333,13.044720935029916,13.02863497327664 
 01/04  03:00:00,8.091666666666667,12.525690635268427,12.505905259600032 
 01/04  04:00:00,7.016666666666668,11.9168616394385,11.893772775539398 
 01/04  05:00:00,5.108333333333334,10.978637655737863,10.94967733283157 
 01/04  06:00:00,5.391666666666667,10.343518473573653,10.310773936523772 
 01/04  07:00:00,5.458333333333333,9.918532297729199,9.884711576170794 
 01/04  08:00:00,5.991666666666667,9.550794131864151,9.576132822754625 
 01/04  09:00:00,7.633333333333333,9.99649810150811,10.47656156878732 
 01/04  10:00:00,8.65,10.680331023031812,11.373854149751347 
 01/04  11:00:00,8.9,11.364565816822916,12.097198406840073 
 01/04  12:00:00,9.541666666666666,12.57190326471221,13.414375848035816 
 01/04  13:00:00,10.350000000000001,13.841511835323798,14.583778655528013 
 01/04  14:00:00,10.600000000000001,15.108061233680127,15.58605752905864 
 01/04  15:00:00,10.25,15.691523810479815,15.824280072811485 
 01/04  16:00:00,10.350000000000001,15.660659210018034,15.541240245163946 
 01/04  17:00:00,10.25,14.990131793661265,14.84792551147963 
 01/04  18:00:00,10.0,14.11095253053142,14.032368144119658 
 01/04  19:00:00,9.65,13.491011395099518,13.437324405683706 
 01/04  20:00:00,9.4,12.98366960285321,12.938596064062246 
 01/04  21:00:00,9.108333333333333,12.574312484768972,12.531084144938143 
 01/04  22:00:00,8.9,12.203197167823191,12.160371676548854 
 01/04  23:00:00,7.908333333333335,11.726563363238673,11.683105451632015 
 01/04  24:00:00,7.841666666666666,11.267508638940349,11.22338826185869 
 01/05  01:00:00,8.008333333333333,11.003176768752837,10.959557599302938 
 01/05  02:00:00,7.799999999999998,10.624778281695782,10.58032809981872 
 01/05  03:00:00,6.166666666666667,10.016472542658155,9.969780851839177 
 01/05  04:00:00,4.3583333333333325,9.135917110094828,9.086405312096382 
 01/05  05:00:00,4.191666666666666,8.538219514809137,8.487787610460051 
 01/05  06:00:00,4.108333333333333,8.082250734910446,8.031265687119648 
 01/05  07:00:00,5.183333333333334,8.205797812159966,8.149961010268548 
 01/05  08:00:00,6.45,8.318074672281938,8.32159953225777 
 01/05  09:00:00,6.991666666666667,8.779493118788848,9.434607651181146 
 01/05  10:00:00,7.2,9.633794353838494,10.865060552992917 
 01/05  11:00:00,7.841666666666666,11.025761180017142,12.732671814386334 
 01/05  12:00:00,8.65,12.88529482392849,14.746709031908415 
 01/05  13:00:00,9.191666666666666,14.619640798783328,16.2339561809885 
 01/05  14:00:00,10.1,16.513757348959327,17.64749829081573 
 01/05  15:00:00,10.891666666666666,18.48705409776719,18.765118443665035 
 01/05  16:00:00,10.458333333333334,19.634913090994885,19.064755653671124 
 01/05  17:00:00,10.350000000000001,18.96752984709136,18.242175028648788 
 01/05  18:00:00,9.9,17.616006776247012,17.1513101659736 
 01/05  19:00:00,9.108333333333333,16.489450275298267,16.176962157512335 
 01/05  20:00:00,8.9,15.713875648002002,15.465211047479677 
 01/05  21:00:00,8.258333333333333,15.055652992719496,14.841438118214201 
 01/05  22:00:00,8.091666666666667,14.482571501901724,14.289520828862516 
 01/05  23:00:00,8.008333333333333,13.31744194649229,13.157302012644378 
 01/05  24:00:00,7.45,12.532215398426446,12.387681099429491 
 01/06  01:00:00,7.2,11.900376714132365,11.765717742899005 
 01/06  02:00:00,6.908333333333334,11.336277017128571,11.20931007604726 
 01/06  03:00:00,6.700000000000002,10.800095609678708,10.679375301241953 
 01/06  04:00:00,6.700000000000002,10.365748360297326,10.251079801367629 
 01/06  05:00:00,6.3500000000000005,9.914165319097036,9.804506098776018 
 01/06  06:00:00,6.1000000000000005,9.44084313655682,9.334703587188189 
 01/06  07:00:00,5.808333333333333,9.409702451509798,9.2933800421996 
 01/06  08:00:00,5.25,9.182407418657387,9.159209177702408 
 01/06  09:00:00,5.3500000000000005,9.558443808904904,10.442609539305902 
 01/06  10:00:00,5.891666666666666,10.667087419185707,12.525525578200948 
 01/06  11:00:00,6.45,11.75433988078924,13.759785869705814 
 01/06  12:00:00,6.700000000000002,12.413016445172373,14.018005640422826 
 01/06  13:00:00,6.991666666666667,13.60529776901528,14.9263415189793 
 01/06  14:00:00,7.55,15.28847057244814,16.221031230719493 
 01/06  15:00:00,8.091666666666667,16.858479994971674,17.095980220336774 
 01/06  16:00:00,8.299999999999999,17.924903809345498,17.43078784847655 
 01/06  17:00:00,8.299999999999999,17.23302855361545,16.63888900520553 
 01/06  18:00:00,8.299999999999999,15.981772813085954,15.620656133637807 
 01/06  19:00:00,8.299999999999999,15.172974334631808,14.92151229674793 
 01/06  20:00:00,8.008333333333333,14.495510971381053,14.296427490785044 
 01/06  21:00:00,7.158333333333334,13.888628602793943,13.716742414978773 
 01/06  22:00:00,6.700000000000002,13.337700989935259,13.18211873304494 
 01/06  23:00:00,8.625,12.56116264900627,12.433298660462826 
 01/06  24:00:00,9.358333333333334,12.350574383803076,12.240728105723278 
 01/07  01:00:00,9.191666666666666,11.913788841434084,11.810882924447613 
 01/07  02:00:00,9.108333333333333,11.608117824545895,11.512330652751148 
 01/07  03:00:00,7.266666666666667,10.951785566552628,10.858188872795678 
 01/07  04:00:00,6.45,10.224059226595733,10.130618572272313 
 01/07  05:00:00,6.991666666666667,9.911821667945732,9.82315347218447 
 01/07  06:00:00,7.841666666666666,9.77914710237704,9.696037534351737 
 01/07  07:00:00,8.008333333333333,9.928729976397468,9.839766703112415 
 01/07  08:00:00,8.441666666666666,9.899943406269214,9.811455343018059 
 01/07  09:00:00,8.9,10.008425043227051,9.935609088264204 
 01/07  10:00:00,9.541666666666666,10.30479946767308,10.276437259037527 
 01/07  11:00:00,8.716666666666665,10.849531529109859,10.963557083037273 
 01/07  12:00:00,7.799999999999998,10.963190519825721,11.092694093317364 
 01/07  13:00:00,8.441666666666666,11.274084531561664,11.364381217603063 
 01/07  14:00:00,8.9,12.45576274217745,12.480536820978841 
 01/07  15:00:00,9.541666666666666,13.64656469025991,13.44930242862659 
 01/07  16:00:00,9.65,14.786974835125754,14.155453139815329 
 01/07  17:00:00,9.108333333333333,14.584409701944038,13.847445164917914 
 01/07  18:00:00,8.549999999999999,13.602165510266067,13.084152639370226 
 01/07  19:00:00,8.008333333333333,12.914688390571897,12.511892377072085 
 01/07  20:00:00,7.45,12.371089604919211,12.035025309508166 
 01/07  21:00:00,6.908333333333334,11.88977331841972,11.595567254343292 
 01/07  22:00:00,6.700000000000002,11.470040952759682,11.204240901802637 
 01/07  23:00:00,6.3500000000000005,10.569355469321682,10.351052370042352 
 01/07  24:00:00,5.808333333333333,9.978992169113312,9.787366525554779 
 01/08  01:00:00,5.6000000000000005,9.51208757039537,9.33744234321165 
 01/08  02:00:00,5.25,9.069708164542515,8.909256661886893 
 01/08  03:00:00,5.0,8.628831953656805,8.479566380401934 
 01/08  04:00:00,5.0,8.283715896836172,8.144212325338257 
 01/08  05:00:00,4.650000000000001,7.909830531189122,7.7788280318326315 
 01/08  06:00:00,4.3999999999999995,7.526277636936631,7.402259650702749 
 01/08  07:00:00,4.108333333333333,7.588623953892884,7.457131810349076 
 01/08  08:00:00,3.899999999999999,7.473866841090088,7.441485800145675 
 01/08  09:00:00,3.9583333333333335,8.00321000258441,9.031339036958252 
 01/08  10:00:00,6.216666666666666,9.486796360689297,11.838699438012 
 01/08  11:00:00,8.5,11.530363287506953,14.526717652943498 
 01/08  12:00:00,9.583333333333334,13.614694191739643,16.475422545656915 
 01/08  13:00:00,11.75,15.66676699131437,17.999446798419488 
 01/08  14:00:00,12.416666666666666,17.52076173504376,19.17952018324822 
 01/08  15:00:00,13.166666666666666,19.09003288217652,19.91190301353484 
 01/08  16:00:00,13.94166666666667,20.266994637685798,20.243293408875942 
 01/08  17:00:00,11.975000000000001,19.471654395699257,19.28459155113872 
 01/08  18:00:00,11.241666666666667,18.036151123229974,18.001458420009502 
 01/08  19:00:00,10.708333333333334,17.17535675001505,17.1929570979139 
 01/08  20:00:00,9.358333333333334,16.381187235177865,16.411140928255197 
 01/08  21:00:00,8.9,15.733512666936306,15.759999547614816 
 01/08  22:00:00,9.191666666666666,15.228377012327252,15.247496762458036 
 01/08  23:00:00,9.4,14.1795084449664,14.191094725730549 
 01/08  24:00:00,9.108333333333333,13.516721397825506,13.521611230569057 
 01/09  01:00:00,8.258333333333333,12.836018893166619,12.833601380315818 
